scenario,total_gain,completed_jobs,total_experiments,technical_failures,dr_cost
Extreme_HighPerf,4.529612305283258,3.0,22.4,11.4,5720.0
Extreme_Struggling,5.482017959639224,3.0,25.2,8.4,6480.0
Sens_Eng2_DR14,5.351594814238674,3.0,24.8,10.6,5880.0
Sens_Eng2_DR21,5.236379423671271,3.0,25.2,9.8,6400.0
Sens_Eng2_DR7,4.636338173005389,3.0,22.4,10.0,5540.0
Sens_Eng5_DR14,5.4456412601587,3.0,24.6,12.2,5640.0
Sens_Eng5_DR21,4.735517109500092,3.0,24.6,11.8,6460.0
Sens_Eng5_DR7,5.683816549658113,3.0,24.8,14.0,5720.0
Sens_Eng8_DR14,5.049032171348482,3.0,24.6,13.4,5640.0
Sens_Eng8_DR21,4.972549892585332,3.0,24.6,10.8,6460.0
Sens_Eng8_DR7,5.669440014253412,3.0,24.8,11.0,5720.0
Solid_Conservative,5.255556200506853,3.0,24.6,10.6,5640.0
