doe_id,scenario,iteration,dr_threshold,decay,res_n_servers,proto_n_servers,dr1_period,steps,seed,total_experiments,technical_failures,operational_failures,total_gain,rework_count,integration_days,market_complaints,dr_cost,completed_jobs
DOE02,Sens_Uncert0.2_Decay0.5,0,0.2,0.5,5,3,14,1000,42,24,8,1,4.694902639223722,0,0,0,5900.0,3
DOE02,Sens_Uncert0.2_Decay0.5,1,0.2,0.5,5,3,14,1000,43,18,3,3,4.6661997911775535,0,0,0,3900.0,3
DOE02,Sens_Uncert0.2_Decay0.5,2,0.2,0.5,5,3,14,1000,44,27,14,2,6.578158053258667,0,0,0,6200.0,3
DOE02,Sens_Uncert0.2_Decay0.5,3,0.2,0.5,5,3,14,1000,45,25,10,2,6.45842217417296,0,0,0,5200.0,3
DOE02,Sens_Uncert0.2_Decay0.5,4,0.2,0.5,5,3,14,1000,46,29,16,1,6.198080044484814,0,0,0,8200.0,3
DOE02,Sens_Uncert0.2_Decay0.8,0,0.2,0.8,5,3,14,1000,42,24,13,1,4.802566465444296,0,0,0,5900.0,3
DOE02,Sens_Uncert0.2_Decay0.8,1,0.2,0.8,5,3,14,1000,43,18,4,2,3.6277837850369368,0,0,0,3900.0,3
DOE02,Sens_Uncert0.2_Decay0.8,2,0.2,0.8,5,3,14,1000,44,27,13,1,5.368915260735194,0,0,0,6200.0,3
DOE02,Sens_Uncert0.2_Decay0.8,3,0.2,0.8,5,3,14,1000,45,25,12,4,4.926702437929108,0,0,0,5200.0,3
DOE02,Sens_Uncert0.2_Decay0.8,4,0.2,0.8,5,3,14,1000,46,29,15,4,5.101210315003168,0,0,0,8200.0,3
DOE02,Sens_Uncert0.2_Decay0.95,0,0.2,0.95,5,3,14,1000,42,24,10,1,4.504104733842464,0,0,0,5900.0,3
DOE02,Sens_Uncert0.2_Decay0.95,1,0.2,0.95,5,3,14,1000,43,18,10,1,4.142595036009948,0,0,0,3900.0,3
DOE02,Sens_Uncert0.2_Decay0.95,2,0.2,0.95,5,3,14,1000,44,27,13,2,5.7820906955576525,0,0,0,6200.0,3
DOE02,Sens_Uncert0.2_Decay0.95,3,0.2,0.95,5,3,14,1000,45,25,16,1,5.22787569102409,0,0,0,5200.0,3
DOE02,Sens_Uncert0.2_Decay0.95,4,0.2,0.95,5,3,14,1000,46,29,16,2,5.742552561289389,0,0,0,8200.0,3
DOE02,Sens_Uncert0.4_Decay0.5,0,0.4,0.5,5,3,14,1000,42,24,12,2,5.1976942868098615,0,0,0,5900.0,3
DOE02,Sens_Uncert0.4_Decay0.5,1,0.4,0.5,5,3,14,1000,43,18,7,3,4.888625214096883,0,0,0,3900.0,3
DOE02,Sens_Uncert0.4_Decay0.5,2,0.4,0.5,5,3,14,1000,44,27,11,3,5.610045628793281,0,0,0,6200.0,3
DOE02,Sens_Uncert0.4_Decay0.5,3,0.4,0.5,5,3,14,1000,45,25,11,1,4.893193622762562,0,0,0,5200.0,3
DOE02,Sens_Uncert0.4_Decay0.5,4,0.4,0.5,5,3,14,1000,46,29,15,1,6.010749181419425,0,0,0,8200.0,3
DOE02,Sens_Uncert0.4_Decay0.8,0,0.4,0.8,5,3,14,1000,42,24,9,0,5.602013251054908,0,0,0,5900.0,3
DOE02,Sens_Uncert0.4_Decay0.8,1,0.4,0.8,5,3,14,1000,43,18,8,1,4.114682437366944,0,0,0,3900.0,3
DOE02,Sens_Uncert0.4_Decay0.8,2,0.4,0.8,5,3,14,1000,44,27,14,1,5.424815634161075,0,0,0,6200.0,3
DOE02,Sens_Uncert0.4_Decay0.8,3,0.4,0.8,5,3,14,1000,45,25,13,2,4.957231466665186,0,0,0,5200.0,3
DOE02,Sens_Uncert0.4_Decay0.8,4,0.4,0.8,5,3,14,1000,46,29,20,0,5.546400061644421,0,0,0,8200.0,3
DOE02,Sens_Uncert0.4_Decay0.95,0,0.4,0.95,5,3,14,1000,42,24,15,1,5.494087547011603,0,0,0,5900.0,3
DOE02,Sens_Uncert0.4_Decay0.95,1,0.4,0.95,5,3,14,1000,43,18,9,1,3.231015922128028,0,0,0,3900.0,3
DOE02,Sens_Uncert0.4_Decay0.95,2,0.4,0.95,5,3,14,1000,44,27,12,1,6.071069493547486,0,0,0,6200.0,3
DOE02,Sens_Uncert0.4_Decay0.95,3,0.4,0.95,5,3,14,1000,45,25,8,3,5.754838700568602,0,0,0,5200.0,3
DOE02,Sens_Uncert0.4_Decay0.95,4,0.4,0.95,5,3,14,1000,46,29,12,2,5.288322786937008,0,0,0,8200.0,3
DOE02,Sens_Uncert0.6_Decay0.5,0,0.6,0.5,5,3,14,1000,42,24,13,4,4.846658844451891,0,0,0,5900.0,3
DOE02,Sens_Uncert0.6_Decay0.5,1,0.6,0.5,5,3,14,1000,43,18,9,1,3.40302245720904,0,0,0,3900.0,3
DOE02,Sens_Uncert0.6_Decay0.5,2,0.6,0.5,5,3,14,1000,44,27,10,3,4.360296348619051,0,0,0,6200.0,3
DOE02,Sens_Uncert0.6_Decay0.5,3,0.6,0.5,5,3,14,1000,45,25,8,6,5.425721447020761,0,0,0,5200.0,3
DOE02,Sens_Uncert0.6_Decay0.5,4,0.6,0.5,5,3,14,1000,46,29,13,5,4.902460816583444,0,0,0,8200.0,3
DOE02,Sens_Uncert0.6_Decay0.8,0,0.6,0.8,5,3,14,1000,42,24,15,0,4.840147609430713,0,0,0,5900.0,3
DOE02,Sens_Uncert0.6_Decay0.8,1,0.6,0.8,5,3,14,1000,43,18,7,1,5.149162008652696,0,0,0,3900.0,3
DOE02,Sens_Uncert0.6_Decay0.8,2,0.6,0.8,5,3,14,1000,44,27,11,2,5.181605880598744,0,0,0,6200.0,3
DOE02,Sens_Uncert0.6_Decay0.8,3,0.6,0.8,5,3,14,1000,45,25,9,3,5.047569062676703,0,0,0,5200.0,3
DOE02,Sens_Uncert0.6_Decay0.8,4,0.6,0.8,5,3,14,1000,46,29,11,4,6.004283567212463,0,0,0,8200.0,3
DOE02,Sens_Uncert0.6_Decay0.95,0,0.6,0.95,5,3,14,1000,42,24,14,1,4.608101416174333,0,0,0,5900.0,3
DOE02,Sens_Uncert0.6_Decay0.95,1,0.6,0.95,5,3,14,1000,43,18,8,3,2.6650847445401187,0,0,0,3900.0,3
DOE02,Sens_Uncert0.6_Decay0.95,2,0.6,0.95,5,3,14,1000,44,27,14,4,5.4354710681144685,0,0,0,6200.0,3
DOE02,Sens_Uncert0.6_Decay0.95,3,0.6,0.95,5,3,14,1000,45,25,16,3,4.989150651944511,0,0,0,5200.0,3
DOE02,Sens_Uncert0.6_Decay0.95,4,0.6,0.95,5,3,14,1000,46,29,19,2,5.250091319613305,0,0,0,8200.0,3
