test_no,dr1_period,dr_threshold,cost_per_review,rework_load_factor,decay,uncertainty_threshold,maturity_threshold,steps,total_experiments,technical_failures,operational_failures,total_gain,rework_count,integration_days,market_complaints,dr_cost,completed_jobs
TestNo_001,15,0.5753571532049581,232.99848545285127,0.659195090518222,0.5702083881990965,0.24679835610086082,0.5232334448672797,1500,24,9,1,4.249209258103961,0,0,0,13746.910641718227,3
TestNo_002,11,0.44546886905123295,146.68383657513436,0.8620379932420408,0.561884424865697,0.3023199053150776,0.5453894084962356,1500,24,10,2,5.647680579882279,0,0,0,8507.662521357794,3
TestNo_003,22,0.18146721354071485,67.64218685010746,0.6854515669237894,0.5119300897437298,0.375732674382039,0.876092096569983,1500,24,10,4,3.9158066927487196,0,0,0,3990.8890241563404,3
TestNo_004,12,0.3252720676550468,82.28985378787374,0.8724306163552336,0.772778585502896,0.2685928416510388,0.7686802737623427,1500,24,8,2,5.365118026092265,0,0,0,4855.101373484551,3
TestNo_005,22,0.48011392994484325,198.90968515196107,0.582945713130095,0.6853284113662708,0.3046604799628986,0.8718116576991304,1500,24,13,0,4.600732633447458,0,0,0,11735.671423965703,3
TestNo_006,9,0.4999580426865947,94.6361655135834,0.6916476647111249,0.6071822514710269,0.22983241782780356,0.5972688763997817,1500,24,13,2,4.043419763373999,0,0,0,6435.259254923671,3
TestNo_007,21,0.5368385570931694,296.02086729982375,0.760964048318711,0.6879950519753002,0.32640710068312107,0.7950329206355566,1500,24,10,2,5.234023528428546,0,0,0,17465.2311706896,3
TestNo_008,17,0.5840967139573608,96.3813789257803,0.8211739007733665,0.8494685837562838,0.4312765533932156,0.8379132912467551,1500,24,9,2,5.091765285591631,0,0,0,5686.501356621038,3
TestNo_009,28,0.11967177033425483,80.5274785025067,0.5713194169700613,0.9202437578875572,0.29484683149302515,0.702893923475357,1500,24,9,0,5.469637239406014,0,0,0,4751.121231647895,3
TestNo_010,22,0.5956279968510941,82.0985723635313,0.3624657896304998,0.8259524677079335,0.37351607510192275,0.6096642666239224,1500,24,17,0,5.109976924806307,0,0,0,4843.815769448346,3
TestNo_011,28,0.4934516931276476,128.8517239370032,0.7128808236519253,0.6969214058249263,0.27640118661381535,0.836348631770369,1500,24,8,3,5.629167165945522,0,0,0,7602.251712283189,3
TestNo_012,14,0.49244848855573375,226.92023368522894,0.7731689788034439,0.7327710753987242,0.33205969938664714,0.5589810106825136,1500,24,14,3,4.906727841002698,0,0,0,13388.293787428509,3
TestNo_013,19,0.3636998110613382,229.83840559228963,0.8341548318106813,0.5357329630893632,0.41944894710210867,0.5749647776390329,1500,24,7,4,5.109473431676885,0,0,0,13560.465929945089,3
TestNo_014,23,0.5964084194995352,82.8722799744954,0.46483891531171173,0.6775592340189409,0.3265484535616494,0.6644084301062183,1500,24,11,3,5.467367414279781,0,0,0,4889.464518495228,3
TestNo_015,15,0.35563773110037555,173.08137000029546,0.6463674175398788,0.8895097155310485,0.49422180307502883,0.6630336834295267,1500,24,10,1,5.30751055542599,0,0,0,10211.800830017433,3
