scenario_name,n_trials,days,arrival_rate,small_exp_duration,bundle_size_small,mid_exp_duration,fin_exp_duration,bundle_size_mid,bundle_size_fin,dr1_period,dr2_period,dr3_period,dr1_capacity,dr2_capacity,dr3_capacity,dr1_cost_per_review,dr2_cost_per_review,dr3_cost_per_review,dr2_rework_multiplier,dr_capacity,dr_quality,rework_load_factor,max_rework_cycles,decay,n_senior,n_coordinator,n_new,n_servers_mid,n_servers_fin,rework_beta_a,rework_beta_b,rework_task_type_mix,conditional_prob_ratio,decision_latency_days,friction_model,friction_alpha,engineer_pool_size,hours_per_day_per_engineer
DOE_SENS_01,100,1095,0.4625228126180321,7,6,21,21,2,2,90,115,90,10,20,18,1.0,2.0,3.0,2.0,10,0.7028371297139868,1.132537831665372,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05,4,7.464681865833979
DOE_SENS_02,100,1095,0.2951383579624603,7,6,21,21,2,2,90,91,90,10,16,18,1.0,2.0,3.0,2.0,10,0.6579768003127695,1.2972464491865838,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05,8,7.120524862217145
DOE_SENS_03,100,1095,0.48181525974264616,7,6,21,21,2,2,90,119,90,10,28,18,1.0,2.0,3.0,2.0,10,0.8405401081596872,0.8422259772079727,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05,4,6.5446114123586
DOE_SENS_04,100,1095,0.581308941312084,7,6,21,21,2,2,90,104,90,10,20,18,1.0,2.0,3.0,2.0,10,0.7660571228424993,1.4358254946310793,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05,10,4.036156282229846
DOE_SENS_05,100,1095,0.5250343587574539,7,6,21,21,2,2,90,93,90,10,25,18,1.0,2.0,3.0,2.0,10,0.5650302002136065,2.061131938492541,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05,12,5.793941895288843
DOE_SENS_06,100,1095,0.3311655542837282,7,6,21,21,2,2,90,107,90,10,13,18,1.0,2.0,3.0,2.0,10,0.7354870386449424,2.4303626982425097,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05,6,4.296037875423436
DOE_SENS_07,100,1095,0.1572897448655892,7,6,21,21,2,2,90,89,90,10,26,18,1.0,2.0,3.0,2.0,10,0.810304894020038,1.6855214060631991,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05,14,7.549413023141919
DOE_SENS_08,100,1095,0.1715758478952753,7,6,21,21,2,2,90,109,90,10,17,18,1.0,2.0,3.0,2.0,10,0.8476609791196262,1.9002529497681224,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05,12,6.250237166532402
DOE_SENS_09,100,1095,0.555338464679424,7,6,21,21,2,2,90,86,90,10,11,18,1.0,2.0,3.0,2.0,10,0.6203859410126784,2.2547606774478837,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05,11,5.833903884983162
DOE_SENS_10,100,1095,0.5152660483604095,7,6,21,21,2,2,90,75,90,10,15,18,1.0,2.0,3.0,2.0,10,0.7066314183410599,1.726044881784767,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05,11,7.749628154135975
DOE_SENS_11,100,1095,0.3592428837424787,7,6,21,21,2,2,90,111,90,10,27,18,1.0,2.0,3.0,2.0,10,0.7496743052841408,2.2751764200863165,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05,17,5.161824744866621
DOE_SENS_12,100,1095,0.3673111160982634,7,6,21,21,2,2,90,86,90,10,21,18,1.0,2.0,3.0,2.0,10,0.7872487269890549,2.405335590118649,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05,18,7.586376623816748
DOE_SENS_13,100,1095,0.30352068312568936,7,6,21,21,2,2,90,102,90,10,24,18,1.0,2.0,3.0,2.0,10,0.6945057528466991,2.4695097253901963,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05,6,4.547903319709526
DOE_SENS_14,100,1095,0.5435728804472655,7,6,21,21,2,2,90,95,90,10,28,18,1.0,2.0,3.0,2.0,10,0.8923067035169917,1.0666879742926525,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05,10,4.664573531251377
DOE_SENS_15,100,1095,0.34180006244285477,7,6,21,21,2,2,90,64,90,10,13,18,1.0,2.0,3.0,2.0,10,0.7416419246184272,1.640788439713412,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05,16,4.097392099765807
