scenario,gate,cycle_p50,cycle_p90,cycle_p95,wait_p50,decision_p50,pass_rate,conditional_rate,nogo_rate,count_avg
01_Baseline,DR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_Baseline,DR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_Baseline,DR3,69.93675283619089,80.97633295201823,82.30069558299765,66.93675283619089,3.0,1.0,0.0,0.0,3.52
02_High_Load,DR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_High_Load,DR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_High_Load,DR3,70.71476756726179,83.92295456360347,85.3704503153252,67.71476756726179,3.0,1.0,0.0,0.0,6.8
03_Few_Engineers,DR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03_Few_Engineers,DR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03_Few_Engineers,DR3,65.90665420029985,75.70541580716036,76.8384458248266,62.906654200299855,3.0,1.0,0.0,0.0,2.88
04_Many_Engineers,DR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04_Many_Engineers,DR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04_Many_Engineers,DR3,69.31526914963533,80.49413139135909,81.81753129102563,66.31526914963533,3.0,1.0,0.0,0.0,3.58
05_High_Uncertainty,DR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_High_Uncertainty,DR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_High_Uncertainty,DR3,69.42773969812642,69.42773969812642,69.42773969812642,66.42773969812642,3.0,1.0,0.0,0.0,1.0
06_Tight_DR,DR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06_Tight_DR,DR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06_Tight_DR,DR3,31.943669532755948,38.06076751927335,38.71084301291635,28.943669532755948,3.0,1.0,0.0,0.0,3.3
