metric,param,corr
dr2_wait,arrival_rate,0.24293011245001847
dr2_wait,rework_load_factor,-0.1391199315624042
dr2_wait,dr2_rework_multiplier,0.14970220237631607
dr2_wait,dr2_period,0.8002637002984792
dr2_wait,dr2_capacity,-0.03075635396585401
dr2_wait,bundle_size_mid,-0.08194958776373763
dr2_wait,n_servers_mid,0.1446492075019307
dr2_cost,arrival_rate,0.5413972677456541
dr2_cost,rework_load_factor,0.10746224779635008
dr2_cost,dr2_rework_multiplier,-0.17204898809361308
dr2_cost,dr2_period,-0.017583239576678872
dr2_cost,dr2_capacity,-0.04958935410975378
dr2_cost,bundle_size_mid,-0.6947945903179691
dr2_cost,n_servers_mid,-0.019742344219568164
cost_per_completed,arrival_rate,-0.029898280340682634
cost_per_completed,rework_load_factor,-0.004171022393860489
cost_per_completed,dr2_rework_multiplier,0.13108261721474246
cost_per_completed,dr2_period,-0.05319709835484554
cost_per_completed,dr2_capacity,0.1191442625386807
cost_per_completed,bundle_size_mid,0.5650595852387919
cost_per_completed,n_servers_mid,0.07166505777618136
throughput,arrival_rate,0.5631099553080188
throughput,rework_load_factor,0.09800615212563603
throughput,dr2_rework_multiplier,-0.14839587746875044
throughput,dr2_period,-0.0012551554062079809
throughput,dr2_capacity,-0.0646370113030056
throughput,bundle_size_mid,-0.641318987864632
throughput,n_servers_mid,-0.0467275007754861
