Scenario,Node,AvgTime,AvgWait,AvgWork
S1_Baseline,SMALL_EXP,146.9229617129949,0.0,146.9229617129949
S1_Baseline,BUNDLE_SMALL,92.19644945785866,92.19644945785866,0.0
S1_Baseline,DR1,46.319542583999464,43.319542583999464,3.0
S1_Baseline,MID_EXP,39.22554723228275,0.0,39.22554723228275
S1_Baseline,BUNDLE_MID,36.93506566266378,36.93506566266378,0.0
S1_Baseline,DR2,67.71390075780168,64.71390075780168,3.0
S1_Baseline,FIN_EXP,1.19121904822691,0.0,1.19121904822691
S1_Baseline,BUNDLE_FIN,718.6009825817928,718.6009825817928,0.0
S1_Baseline,DR3,89.5082896608767,86.5082896608767,3.0
S2_HeavyRework,SMALL_EXP,0.0,0.0,0.0
S2_HeavyRework,BUNDLE_SMALL,0.0,0.0,0.0
S2_HeavyRework,DR1,3.0,0.0,3.0
S2_HeavyRework,MID_EXP,0.0,0.0,0.0
S2_HeavyRework,BUNDLE_MID,0.0,0.0,0.0
S2_HeavyRework,DR2,3.0,0.0,3.0
S2_HeavyRework,FIN_EXP,0.0,0.0,0.0
S2_HeavyRework,BUNDLE_FIN,0.0,0.0,0.0
S2_HeavyRework,DR3,3.0,0.0,3.0
S3_DR2_Heavy,SMALL_EXP,133.36535570572835,0.0,133.36535570572835
S3_DR2_Heavy,BUNDLE_SMALL,94.6297565839613,94.6297565839613,0.0
S3_DR2_Heavy,DR1,42.352560313909684,39.352560313909684,3.0
S3_DR2_Heavy,MID_EXP,47.0797977792084,9.462442517626329,37.61735526158207
S3_DR2_Heavy,BUNDLE_MID,22.876173457923297,22.876173457923297,0.0
S3_DR2_Heavy,DR2,59.89500934344633,56.89500934344633,3.0
S3_DR2_Heavy,FIN_EXP,1.843702953505919,0.0,1.843702953505919
S3_DR2_Heavy,BUNDLE_FIN,719.9059503923507,719.9059503923507,0.0
S3_DR2_Heavy,DR3,88.20332185031873,85.20332185031873,3.0
S4_Rework_Spiral,SMALL_EXP,0.0,0.0,0.0
S4_Rework_Spiral,BUNDLE_SMALL,0.0,0.0,0.0
S4_Rework_Spiral,DR1,3.0,0.0,3.0
S4_Rework_Spiral,MID_EXP,0.0,0.0,0.0
S4_Rework_Spiral,BUNDLE_MID,0.0,0.0,0.0
S4_Rework_Spiral,DR2,3.0,0.0,3.0
S4_Rework_Spiral,FIN_EXP,0.0,0.0,0.0
S4_Rework_Spiral,BUNDLE_FIN,0.0,0.0,0.0
S4_Rework_Spiral,DR3,3.0,0.0,3.0
S5_Res_Crunch,SMALL_EXP,215.6541236402269,0.0,215.6541236402269
S5_Res_Crunch,BUNDLE_SMALL,98.6953851514446,98.6953851514446,0.0
S5_Res_Crunch,DR1,55.6349569233652,52.6349569233652,3.0
S5_Res_Crunch,MID_EXP,16.4766602795848,0.0,16.4766602795848
S5_Res_Crunch,BUNDLE_MID,35.25030845439078,35.25030845439078,0.0
S5_Res_Crunch,DR2,62.09707348413815,59.09707348413815,3.0
S5_Res_Crunch,FIN_EXP,28.611348093258783,0.0,28.611348093258783
S5_Res_Crunch,BUNDLE_FIN,272.3378702454503,272.3378702454503,0.0
S5_Res_Crunch,DR3,60.2197167840161,57.2197167840161,3.0
S6_High_Load_Rework,SMALL_EXP,0.0,0.0,0.0
S6_High_Load_Rework,BUNDLE_SMALL,0.0,0.0,0.0
S6_High_Load_Rework,DR1,3.0,0.0,3.0
S6_High_Load_Rework,MID_EXP,0.0,0.0,0.0
S6_High_Load_Rework,BUNDLE_MID,0.0,0.0,0.0
S6_High_Load_Rework,DR2,3.0,0.0,3.0
S6_High_Load_Rework,FIN_EXP,0.0,0.0,0.0
S6_High_Load_Rework,BUNDLE_FIN,0.0,0.0,0.0
S6_High_Load_Rework,DR3,3.0,0.0,3.0
