scenario,gate,cycle_p50,cycle_p90,cycle_p95,wait_p50,decision_p50,pass_rate,conditional_rate,nogo_rate,count_avg
01_Baseline_v2,DR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_Baseline_v2,DR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_Baseline_v2,DR3,149.80967025231436,150.292971035146,150.35338363299996,146.80967025231436,3.0,1.0,0.0,0.0,1.1666666666666667
02_High_Resource_Extreme,DR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_High_Resource_Extreme,DR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_High_Resource_Extreme,DR3,147.7081475871411,151.77697990912662,152.28558394937482,144.7081475871411,3.0,1.0,0.0,0.0,1.4
03_High_Uncertainty_Extreme,DR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03_High_Uncertainty_Extreme,DR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03_High_Uncertainty_Extreme,DR3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04_Efficient_DR_Extreme,DR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04_Efficient_DR_Extreme,DR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04_Efficient_DR_Extreme,DR3,114.52805326133333,163.21013201817215,169.0472207138786,113.52805326133333,1.0,1.0,0.0,0.0,28.466666666666665
05_Heavy_Load_Extreme,DR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Heavy_Load_Extreme,DR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Heavy_Load_Extreme,DR3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06_Throughput_Max_Attempt,DR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06_Throughput_Max_Attempt,DR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06_Throughput_Max_Attempt,DR3,74.79741990407705,94.97348027765985,96.72384751565534,72.79741990407705,2.0,1.0,0.0,0.0,20.466666666666665
