job_id,node_id,start_time,base_duration,effective_duration,friction_multiplier,n_servers,wait_time,trial_id
bundle_BUNDLE_MID_1,FIN_EXP,60.0,2.95950263977315,2.95950263977315,1.0,20,0.0,29
bundle_BUNDLE_SMALL_5,MID_EXP,30.0,1.544187194521868,1.6059546823027426,1.04,20,0.0,29
job_19.30,SMALL_EXP,19.301285529161134,0.7186768997448723,0.725863668742321,1.01,50,0.0,29
job_20.06,SMALL_EXP,20.05532818379896,0.6785963242373461,0.6853822874797195,1.01,50,0.0,29
bundle_BUNDLE_SMALL_4,MID_EXP,30.0,4.102283105998842,4.225351599178807,1.03,20,0.0,29
job_14.99,SMALL_EXP,14.994216656431512,3.1844304823005807,3.2162747871235866,1.01,50,0.0,29
job_16.20,SMALL_EXP,16.20491907176152,2.2655649858700775,2.310876285587479,1.02,50,0.0,29
bundle_BUNDLE_MID_3,FIN_EXP,60.0,4.905601970033851,4.95465798973419,1.01,20,0.0,29
bundle_BUNDLE_SMALL_1,MID_EXP,30.0,15.184661215949877,15.184661215949877,1.0,20,0.0,29
job_0.26,SMALL_EXP,0.2612682438421653,5.140184745769757,5.140184745769757,1.0,50,0.0,29
job_5.25,SMALL_EXP,5.251350654789543,1.1731578944494665,1.196621052338456,1.02,50,0.0,29
bundle_BUNDLE_SMALL_2,MID_EXP,30.0,23.611595977780112,23.847711937557914,1.01,20,0.0,29
job_2.76,SMALL_EXP,2.759518057416384,6.573900586281251,6.639639592144063,1.01,50,0.0,29
job_12.43,SMALL_EXP,12.42669863809764,2.266620589818125,2.2892867957163063,1.01,50,0.0,29
bundle_BUNDLE_MID_1,FIN_EXP,60.0,2.8960625633507324,2.8960625633507324,1.0,20,0.0,32
bundle_BUNDLE_SMALL_3,MID_EXP,30.0,1.7417915521403604,1.7766273831831676,1.02,20,0.0,32
job_9.96,SMALL_EXP,9.961004034862912,2.8639335313399683,2.892572866653368,1.01,50,0.0,32
job_15.52,SMALL_EXP,15.523190800042862,0.41789662099054226,0.41789662099054226,1.0,50,0.0,32
bundle_BUNDLE_SMALL_4,MID_EXP,30.0,6.056014176856925,6.237694602162633,1.03,20,0.0,32
job_15.53,SMALL_EXP,15.533151734778269,0.5146232473391027,0.5197694798124938,1.01,50,0.0,32
job_18.42,SMALL_EXP,18.418509801675025,0.14225397254881236,0.14225397254881236,1.0,50,0.0,32
bundle_BUNDLE_MID_2,FIN_EXP,60.0,3.3477740526903412,3.3812517932172446,1.01,20,0.0,32
bundle_BUNDLE_SMALL_1,MID_EXP,30.0,19.168365459615217,19.168365459615217,1.0,20,0.0,32
job_6.12,SMALL_EXP,6.1167351347210515,1.6911822344582077,1.7080940568027898,1.01,50,0.0,32
job_3.94,SMALL_EXP,3.9382847858553003,4.042625055759227,4.042625055759227,1.0,50,0.0,32
bundle_BUNDLE_SMALL_2,MID_EXP,30.0,24.56695581638501,24.812625374548862,1.01,20,0.0,32
job_7.95,SMALL_EXP,7.948145939808032,0.6016508259548445,0.607667334214393,1.01,50,0.0,32
job_8.91,SMALL_EXP,8.911382256182348,1.6806239276961146,1.6806239276961146,1.0,50,0.0,32
bundle_BUNDLE_MID_2,FIN_EXP,60.0,4.513910922834076,4.559050032062417,1.01,20,0.0,36
bundle_BUNDLE_SMALL_3,MID_EXP,30.0,17.092624015417837,17.434476495726194,1.02,20,0.0,36
job_13.08,SMALL_EXP,13.075868406805142,1.2418483177756359,1.2418483177756359,1.0,50,0.0,36
job_19.68,SMALL_EXP,19.683983401003665,0.07185850679530457,0.07257709186325761,1.01,50,0.0,36
bundle_BUNDLE_SMALL_2,MID_EXP,30.0,20.203927294567755,20.405966567513435,1.01,20,0.0,36
job_10.20,SMALL_EXP,10.199907334830762,2.274958038811681,2.2977076191997976,1.01,50,0.0,36
job_13.92,SMALL_EXP,13.916900178708433,0.3874130021216561,0.39128713214287264,1.01,50,0.0,36
bundle_BUNDLE_MID_1,FIN_EXP,60.0,20.50471420180219,20.50471420180219,1.0,20,0.0,36
bundle_BUNDLE_SMALL_1,MID_EXP,30.0,0.1116947230969895,0.1116947230969895,1.0,20,0.0,36
job_0.82,SMALL_EXP,0.8206895057867494,0.5596320705961015,0.5596320705961015,1.0,50,0.0,36
job_7.04,SMALL_EXP,7.036216739352016,5.012457738255298,5.012457738255298,1.0,50,0.0,36
bundle_BUNDLE_SMALL_4,MID_EXP,30.0,13.069273311588391,13.461351510936044,1.03,20,0.0,36
job_18.75,SMALL_EXP,18.750752957762725,3.2455388125478546,3.2455388125478546,1.0,50,0.0,36
job_19.90,SMALL_EXP,19.90298815384891,3.155180817451263,3.1867326256257757,1.01,50,0.0,36
