scenario,gate,cycle_p90,pass_rate
01_Baseline_v2,DR1,0.0,0.0
01_Baseline_v2,DR2,0.0,0.0
01_Baseline_v2,DR3,150.292971035146,1.0
02_High_Resource_Extreme,DR1,0.0,0.0
02_High_Resource_Extreme,DR2,0.0,0.0
02_High_Resource_Extreme,DR3,151.77697990912662,1.0
03_High_Uncertainty_Extreme,DR1,0.0,0.0
03_High_Uncertainty_Extreme,DR2,0.0,0.0
03_High_Uncertainty_Extreme,DR3,0.0,0.0
04_Efficient_DR_Extreme,DR1,0.0,0.0
04_Efficient_DR_Extreme,DR2,0.0,0.0
04_Efficient_DR_Extreme,DR3,163.21013201817215,1.0
05_Heavy_Load_Extreme,DR1,0.0,0.0
05_Heavy_Load_Extreme,DR2,0.0,0.0
05_Heavy_Load_Extreme,DR3,0.0,0.0
06_Throughput_Max_Attempt,DR1,0.0,0.0
06_Throughput_Max_Attempt,DR2,0.0,0.0
06_Throughput_Max_Attempt,DR3,94.97348027765985,1.0
