scenario_name,n_trials,days,arrival_rate,small_exp_duration,bundle_size_small,mid_exp_duration,fin_exp_duration,bundle_size_mid,bundle_size_fin,dr1_period,dr2_period,dr3_period,dr1_capacity,dr2_capacity,dr3_capacity,dr1_cost_per_review,dr2_cost_per_review,dr3_cost_per_review,dr2_rework_multiplier,dr_capacity,dr_quality,rework_load_factor,max_rework_cycles,decay,n_senior,n_coordinator,n_new,n_servers_mid,n_servers_fin,rework_beta_a,rework_beta_b,rework_task_type_mix,conditional_prob_ratio,decision_latency_days,friction_model,friction_alpha,engineer_pool_size,hours_per_day_per_engineer,n_servers_small,adoption_rate,dr1_t,dr2_t,dr3_t
01_Baseline,30,3650,0.43,7,12,70,70,6,6,90,90,90,10,14,18,1,2,3,2,10,0.2,1.3,3,0.7,2,2,2,10,10,2,5,1,0.875,3,linear,0.05,10,6,7,0.55,270,450,630
Test02,30,3650,0.43,7,12,70,70,6,6,90,90,90,10,14,18,1,2,3,2,10,0.2,1.3,3,0.7,10,10,10,30,30,2,5,1,0.875,3,linear,0.05,50,8,30,0.9,270,450,630
Test03,30,3650,0.43,7,12,70,70,6,6,90,90,90,10,14,18,1,2,3,2,10,0.05,2.5,10,0.9,2,2,2,10,10,1,1,1,0.875,14,linear,0.2,10,6,7,0.2,270,450,630
Test04,30,3650,0.43,7,12,70,70,6,6,30,30,30,50,50,50,0.5,0.5,0.5,1.1,10,0.8,1.1,2,0.5,5,5,5,15,15,5,2,1,0.875,1,linear,0.01,20,7,15,0.8,270,450,630
Test05,30,3650,1.2,7,12,70,70,6,6,180,180,180,5,5,5,2,5,10,4,5,0.05,3,10,0.95,1,1,1,5,5,1,10,1,0.875,10,linear,0.3,5,4,5,0.3,270,450,630
Test06,30,3650,0.6,5,15,50,50,10,10,45,45,45,20,20,20,1,1,1,1.5,15,0.6,1.2,3,0.6,5,5,5,20,20,3,3,1,0.875,2,linear,0.02,30,7,20,0.7,200,350,500
Test07,30,3650,0.43,7,12,70,70,6,6,90,90,90,10,14,18,1,2,3,2,10,0.2,1.3,3,0.7,2,2,2,10,10,2,5,1,0.875,3,linear,0.05,10,6,7,0.55,270,450,630
Test08,30,3650,0.43,7,12,70,70,6,6,90,90,90,10,14,18,1,2,3,2,10,0.2,1.3,3,0.7,10,10,10,30,30,2,5,1,0.875,3,linear,0.05,50,8,30,0.9,270,450,630
Test09,30,3650,0.43,7,12,70,70,6,6,90,90,90,10,14,18,1,2,3,2,10,0.05,2.5,10,0.9,2,2,2,10,10,1,1,1,0.875,14,linear,0.2,10,6,7,0.2,270,450,630
Test10,30,3650,0.43,7,12,70,70,6,6,30,30,30,50,50,50,0.5,0.5,0.5,1.1,10,0.8,1.1,2,0.5,5,5,5,15,15,5,2,1,0.875,1,linear,0.01,20,7,15,0.8,270,450,630
Test11,30,3650,1.2,7,12,70,70,6,6,180,180,180,5,5,5,2,5,10,4,5,0.05,3,10,0.95,1,1,1,5,5,1,10,1,0.875,10,linear,0.3,5,4,5,0.3,270,450,630
Test12,30,3650,0.6,5,15,50,50,10,10,45,45,45,20,20,20,1,1,1,1.5,15,0.6,1.2,3,0.6,5,5,5,20,20,3,3,1,0.875,2,linear,0.02,30,7,20,0.7,200,350,500
Test13,30,3200,0.6,5,15,50,50,10,10,45,45,45,20,20,20,1,1,1,1.5,15,0.6,1.26,3,0.6,5,5,5,20,20,3,3,1,0.875,2,linear,0.02,21,7,20,0.7,200,240,100
Test14,30,3300,0.6,5,10,50,50,10,10,45,45,45,20,20,20,1,1,1,1.5,15,0.6,1.265,3,0.6,5,5,5,20,20,3,3,1,0.875,2,linear,0.02,22,7,20,0.7,200,260,100
Test15,30,3650,0.43,7,12,70,70,6,6,90,90,90,10,14,18,1,2,3,2,10,0.2,1.3,3,0.7,2,2,2,10,10,2,5,1,0.875,3,linear,0.05,10,6,7,0.55,270,450,630
Test16,30,3650,0.43,7,12,70,70,6,6,90,90,90,10,14,18,1,2,3,2,10,0.2,1.3,3,0.7,10,10,10,30,30,2,5,1,0.875,3,linear,0.05,50,8,30,0.9,270,450,630
Test17,30,3650,0.43,7,12,70,70,6,6,90,90,90,10,14,18,1,2,3,2,10,0.05,2.5,10,0.9,2,2,2,10,10,1,1,1,0.875,14,linear,0.2,10,6,7,0.2,270,450,630
