scenario_name,n_trials,days,arrival_rate,small_exp_duration,bundle_size_small,mid_exp_duration,fin_exp_duration,bundle_size_mid,bundle_size_fin,dr1_period,dr2_period,dr3_period,dr1_capacity,dr2_capacity,dr3_capacity,dr1_cost_per_review,dr2_cost_per_review,dr3_cost_per_review,dr2_rework_multiplier,dr_capacity,dr_quality,rework_load_factor,max_rework_cycles,decay,n_senior,n_coordinator,n_new,n_servers_mid,n_servers_fin,rework_beta_a,rework_beta_b,rework_task_type_mix,conditional_prob_ratio,decision_latency_days,friction_model,friction_alpha
01_Baseline,100,1095,0.2,7,6,21,21,2,2,90,90,90,10,14,18,1.0,2.0,3.0,2.0,10,0.8,1.3,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05
02_High_Load,100,1095,0.2,7,6,21,21,2,2,90,90,90,10,14,18,1.0,2.0,3.0,2.0,10,0.8,2.0,8,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05
03_High_Rework,100,1095,0.2,7,6,21,21,2,2,90,90,90,10,14,18,1.0,2.0,3.0,2.0,10,0.4,1.3,20,0.99,2,2,2,2,2,5,2,1,0.1,3,linear,0.05
04_Large_Bundle,100,1095,0.2,7,12,21,21,6,6,90,90,90,10,14,18,1.0,2.0,3.0,2.0,10,0.8,1.3,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05
05_Fast_DR,100,1095,0.2,7,6,21,21,2,2,60,60,60,10,14,18,1.0,2.0,3.0,2.0,10,0.8,1.3,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05
06_Senior_Only,100,1095,0.2,7,6,21,21,2,2,90,90,90,10,14,18,1.0,2.0,3.0,2.0,10,0.8,1.3,3,0.7,6,0,0,2,2,2,5,1,0.5,3,linear,0.05
07_Coordinator_Only,100,1095,0.2,7,6,21,21,2,2,90,90,90,10,14,18,1.0,2.0,3.0,2.0,10,0.8,1.3,3,0.7,0,6,0,2,2,2,5,1,0.5,3,linear,0.05
08_New_Only,100,1095,0.2,7,6,21,21,2,2,90,90,90,10,14,18,1.0,2.0,3.0,2.0,10,0.8,1.3,3,0.7,0,0,6,2,2,4,9,1,0.5,3,linear,0.05
09_reworkABup,100,1095,0.2,7,6,21,21,2,2,90,90,90,10,14,18,1.0,2.0,3.0,2.0,10,0.8,1.3,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05
10_High_Arrival,100,1095,1.0,7,6,21,21,2,2,90,90,90,10,14,18,1.0,2.0,3.0,2.0,10,0.8,1.3,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05
11_conditional_prob_ratioLOW,100,1095,0.2,7,6,21,21,2,2,90,90,90,10,14,18,1.0,2.0,3.0,2.0,10,0.8,1.3,3,0.7,2,2,2,2,2,2,5,1,0.9,1,linear,0.05
12_DR_30_65,100,1095,0.2,7,6,21,21,2,2,30,30,30,10,14,18,1.0,2.0,3.0,2.0,10,0.8,1.3,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05
