test_no,dr1_period,dr_threshold,cost_per_review,rework_load_factor,decay,uncertainty_threshold,maturity_threshold,steps,total_experiments,technical_failures,operational_failures,total_gain,rework_count,integration_days,market_complaints,dr_cost,completed_jobs
TestNo_001,15,0.5753571532049581,232.99848545285127,0.659195090518222,0.5702083881990965,0.24679835610086082,0.5232334448672797,1500,24,9,1,4.249209258103961,0,0,0,13746.910641718227,3
TestNo_002,11,0.44546886905123295,146.68383657513436,0.8620379932420408,0.561884424865697,0.3023199053150776,0.5453894084962356,1500,24,10,2,5.647680579882279,0,0,0,8507.662521357794,3
TestNo_003,22,0.18146721354071485,67.64218685010746,0.6854515669237894,0.5119300897437298,0.375732674382039,0.876092096569983,1500,24,10,4,3.9158066927487196,0,0,0,3990.8890241563404,3
TestNo_004,12,0.3252720676550468,82.28985378787374,0.8724306163552336,0.772778585502896,0.2685928416510388,0.7686802737623427,1500,24,8,2,5.365118026092265,0,0,0,4855.101373484551,3
TestNo_005,22,0.48011392994484325,198.90968515196107,0.582945713130095,0.6853284113662708,0.3046604799628986,0.8718116576991304,1500,24,13,0,4.600732633447458,0,0,0,11735.671423965703,3
TestNo_006,9,0.4999580426865947,94.6361655135834,0.6916476647111249,0.6071822514710269,0.22983241782780356,0.5972688763997817,1500,22,11,2,3.4872706610047404,0,0,0,5488.897599787837,3
TestNo_007,21,0.5429888741180936,203.96579704557615,0.43977568485218027,0.5109803517004421,0.46102966217027896,0.5085077643401549,1500,24,9,2,5.6276591901811015,0,0,0,12033.982025688994,3
TestNo_008,28,0.17552894589045012,158.08370026065046,0.8661695521005595,0.688877292616755,0.39155778429922566,0.6590377591851178,1500,24,9,4,5.141387335728475,0,0,0,9326.938315378375,3
TestNo_009,12,0.13674837366500633,92.43947627188518,0.6118643691336106,0.6516514293940788,0.44866500976478285,0.6723550094647224,1500,24,12,3,3.9633043028458204,0,0,0,5453.929100041225,3
TestNo_010,20,0.18400710387243172,234.21843623604553,0.8176782465259371,0.5975329100408491,0.22871436665604852,0.5094554344185346,1500,24,10,3,4.532075575481723,0,0,0,13818.887737926685,3
TestNo_011,11,0.10606038732194664,110.30036439988537,0.8855242529460323,0.8606917003473453,0.48787299329631,0.6951416175705449,1500,24,13,2,4.415012133129063,0,0,0,6397.421135193351,3
TestNo_012,18,0.1385291395671656,64.6377323109948,0.5005429912176365,0.8532036397001603,0.41230428042227474,0.8154459858689627,1500,24,9,2,5.529794637881691,0,0,0,3813.626206348694,3
TestNo_013,22,0.17605214161113644,160.08085459208723,0.6691788150418813,0.5375588382452224,0.4647249105222016,0.8214414141766141,1500,24,9,4,4.718314196264348,0,0,0,9444.770420933146,3
TestNo_014,11,0.3582863142229895,51.376449790105205,0.3045984195895352,0.5985809640958359,0.21101640875024635,0.5432103016522766,1500,24,13,1,6.103749107838569,0,0,0,2979.834087826102,3
TestNo_015,16,0.11972976644544966,168.88650937170667,0.6258147503745979,0.6024873812464443,0.48920865414965414,0.8637818443748968,1500,24,11,4,5.468766823418503,0,0,0,9964.304052930693,3
